niveau,club,nom,date,heure,format_ouverture,caracteristiques
P100,4PADEL CRÉTEIL,4PADEL Créteil - P100 Journée,08/08/2026,09:00,à 14.29 km,4PADEL Créteil - P100 Journée | à 14.29 km
P100,4PADEL VAIRES TORCY,P100 JOURNÉE - 4PADEL VAIRES TORCY,10/08/2026,09:00,à 20.97 km,P100 JOURNÉE - 4PADEL VAIRES TORCY | à 20.97 km
P250,4PADEL CRÉTEIL,4PADEL Créteil - P250 Soirée,10/08/2026,17:00,à 14.29 km,4PADEL Créteil - P250 Soirée | à 14.29 km
P100,4PADEL CRÉTEIL,4PADEL Créteil - P100 Journée,17/08/2026,09:00,à 14.29 km,4PADEL Créteil - P100 Journée | à 14.29 km
P100,4PADEL MONTREUIL,4PADEL MONTREUIL - P100 Journée,18/08/2026,09:00,à 8.5 km,4PADEL MONTREUIL - P100 Journée | à 8.5 km
P250,4PADEL VAIRES TORCY,P250 JOURNÉE - 4PADEL VAIRES TORCY,20/08/2026,09:00,à 20.97 km,P250 JOURNÉE - 4PADEL VAIRES TORCY | à 20.97 km
P250,4PADEL CRÉTEIL,4PADEL Créteil - P250 Journée,22/08/2026,09:00,à 14.29 km,4PADEL Créteil - P250 Journée | à 14.29 km
P100,4PADEL EPINAY,P100 mixte,22/08/2026,09:00,à 10.14 km,P100 mixte | à 10.14 km
P100,4PADEL VAIRES TORCY,P100 SOIRÉE - 4PADEL VAIRES TORCY,22/08/2026,17:00,à 20.97 km,P100 SOIRÉE - 4PADEL VAIRES TORCY | à 20.97 km
P100,4PADEL MARVILLE,P100 Journée,24/08/2026,09:00,à 8.45 km,P100 Journée | à 8.45 km
P100,4PADEL MONTREUIL,4PADEL MONTREUIL - P100 Journée,25/08/2026,09:00,à 8.5 km,4PADEL MONTREUIL - P100 Journée | à 8.5 km
P100,4PADEL CRÉTEIL,4PADEL Créteil - P100 Journée,27/08/2026,09:00,à 14.29 km,4PADEL Créteil - P100 Journée | à 14.29 km
P100,4PADEL CAO SAINT-DENIS,P100 soirée,27/08/2026,18:00,à 6.62 km,P100 soirée | à 6.62 km
